,Unnamed: 0,idx,code,reaction,error
10,0,10,10,[C:8](=[C:9]1[C:10](=[C:15]([H:19])[H:20])[C:11]([H:21])([H:22])[C:12]([H:23])([H:24])[C:13]([H:25])([H:26])[C:14]1([H:27])[H:28])([H:17])[H:18].[O:1]=[C:2]1[C:3]([H:29])=[C:4]([H:30])[C:5](=[O:6])[C:7]([H:31])=[C:16]1[H:32]>>[O:1]=[C:2]1[C:3]([H:29])=[C:4]([H:30])[C:5](=[O:6])[C@:7]2([H:31])[C:8]([H:17])([H:18])[C:9]3=[C:10]([C:11]([H:21])([H:22])[C:12]([H:23])([H:24])[C:13]([H:25])([H:26])[C:14]3([H:27])[H:28])[C:15]([H:19])([H:20])[C@:16]12[H:32],False
11,0,11,11,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([N:7]1/[C:8](=[C:9](/[C:10]#[N:11])[C:12](=[O:13])[O:14][C:15]([H:40])([H:41])[H:42])[C:16]([H:43])=[C:17]([H:44])[C:18]([H:45])=[C:19]1[H:46])([H:38])[H:39])([H:36])[H:37])([H:33])([H:34])[H:35].[C:20]1([H:47])=[C:32]([H:48])[C:30](=[O:31])[N:23]([C:24]2=[C:25]([H:49])[C:26]([H:50])=[C:27]([H:51])[C:28]([H:52])=[C:29]2[H:53])[C:21]1=[O:22]>>[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([N:7]1/[C:8](=[C:9](\[C:10]#[N:11])[C:12](=[O:13])[O:14][C:15]([H:40])([H:41])[H:42])[C@@:16]2([H:43])[C:17]([H:44])=[C:18]([H:45])[C@:19]1([H:46])[C@:20]1([H:47])[C:21](=[O:22])[N:23]([C:24]3=[C:25]([H:49])[C:26]([H:50])=[C:27]([H:51])[C:28]([H:52])=[C:29]3[H:53])[C:30](=[O:31])[C@:32]21[H:48])([H:38])[H:39])([H:36])[H:37])([H:33])([H:34])[H:35],False
12,0,12,12,[C:19]1([H:27])=[C:20]([H:28])[C:21]([H:29])=[C:22]([H:30])[C:23]([H:31])([H:32])[C:24]1([H:33])[H:34].[C:1]([C:2]([C:3]([H:38])([H:39])[H:40])([C:4]([H:41])([H:42])[H:43])[C:5]1=[C:6]([H:44])[C:7]([H:45])=[C:8]([C:9](=[O:10])/[C:11](=[C:12](/[C:13]2=[C:14]([H:48])[C:15]([H:49])=[C:16]([H:50])[C:17]([H:51])=[C:18]2[H:52])[H:47])[H:46])[C:25]([H:53])=[C:26]1[H:54])([H:35])([H:36])[H:37]>>[C:1]([C:2]([C:3]([H:38])([H:39])[H:40])([C:4]([H:41])([H:42])[H:43])[C:5]1=[C:6]([H:44])[C:7]([H:45])=[C:8]([C:9](=[O:10])[C@:11]2([H:46])[C@:12]([C:13]3=[C:14]([H:48])[C:15]([H:49])=[C:16]([H:50])[C:17]([H:51])=[C:18]3[H:52])([H:47])[C@:19]3([H:27])[C:20]([H:28])=[C:21]([H:29])[C@@:22]2([H:30])[C:23]([H:31])([H:32])[C:24]3([H:33])[H:34])[C:25]([H:53])=[C:26]1[H:54])([H:35])([H:36])[H:37],False
13,0,13,13,[C:16](=[C:17]([O:18][C:19]([C:20]1=[C:21]([H:31])[C:22]([H:32])=[C:23]([H:33])[C:24]([H:34])=[C:25]1[H:35])([H:29])[H:30])[H:28])([H:26])[H:27].[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:15]([H:39])[C:10]([O:11][C:12]([H:40])([H:41])[H:42])([O:13][C:14]([H:43])([H:44])[H:45])[C:8](=[O:9])[C:7]([H:46])=[C:6]1[H:47])([H:36])([H:37])[H:38]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([H:47])[C@@:7]2([H:46])[C:8](=[O:9])[C:10]([O:11][C:12]([H:40])([H:41])[H:42])([O:13][C:14]([H:43])([H:44])[H:45])[C@:15]1([H:39])[C:16]([H:26])([H:27])[C@:17]2([O:18][C:19]([C:20]1=[C:21]([H:31])[C:22]([H:32])=[C:23]([H:33])[C:24]([H:34])=[C:25]1[H:35])([H:29])[H:30])[H:28])([H:36])([H:37])[H:38],False
14,0,14,14,[C:14](=[C:15]([C:16](=[O:17])[H:49])[H:48])([H:46])[H:47].[C:1]([C:2]1=[C:3]([H:31])[C:4]([H:32])=[C:5]([N:6]2[C:7](=[O:8])[C@@:9]([C:10](=[C:11]([C:12](=[C:13]([H:37])[H:38])[H:36])[H:35])[H:34])([H:33])[C@:18]2([C:19]2=[C:20]([H:40])[C:21]([H:41])=[C:22]([Cl:23])[C:24]([H:42])=[C:25]2[H:43])[H:39])[C:26]([H:44])=[C:27]1[H:45])([H:28])([H:29])[H:30]>>[C:1]([C:2]1=[C:3]([H:31])[C:4]([H:32])=[C:5]([N:6]2[C:7](=[O:8])[C@@:9]([C@@:10]3([H:34])[C:11]([H:35])=[C:12]([H:36])[C:13]([H:37])([H:38])[C:14]([H:46])([H:47])[C@:15]3([C:16](=[O:17])[H:49])[H:48])([H:33])[C@:18]2([C:19]2=[C:20]([H:40])[C:21]([H:41])=[C:22]([Cl:23])[C:24]([H:42])=[C:25]2[H:43])[H:39])[C:26]([H:44])=[C:27]1[H:45])([H:28])([H:29])[H:30],False
15,0,15,15,[C:1]([C:2]([C:3]([C:4]([H:32])([H:33])[H:34])=[C:5]([H:35])[H:36])=[C:28]([H:37])[H:38])([H:29])([H:30])[H:31].[C:6](\[C:7](=[O:8])[C:9]1=[C:10]([H:40])[C:11]([C:12]([H:41])([H:42])[H:43])=[C:13]([H:44])[C:14]([H:45])=[C:15]1[C:16]([H:46])([H:47])[H:48])(=[C:17](/[C:18](=[O:19])[C:20]1=[C:21]([H:50])[C:22]([C:23]([H:51])([H:52])[H:53])=[C:24]([H:54])[C:25]([H:55])=[C:26]1[C:27]([H:56])([H:57])[H:58])[H:49])[H:39]>>[C:1]([C:2]1=[C:3]([C:4]([H:32])([H:33])[H:34])[C:5]([H:35])([H:36])[C@@:6]([C:7](=[O:8])[C:9]2=[C:10]([H:40])[C:11]([C:12]([H:41])([H:42])[H:43])=[C:13]([H:44])[C:14]([H:45])=[C:15]2[C:16]([H:46])([H:47])[H:48])([H:39])[C@:17]([C:18](=[O:19])[C:20]2=[C:21]([H:50])[C:22]([C:23]([H:51])([H:52])[H:53])=[C:24]([H:54])[C:25]([H:55])=[C:26]2[C:27]([H:56])([H:57])[H:58])([H:49])[C:28]1([H:37])[H:38])([H:29])([H:30])[H:31],False
16,0,16,16,[C:18]1([H:24])=[C:19]([H:25])[C:20]([H:26])=[C:21]([H:27])[C:22]([H:28])([H:29])[C:23]1([H:30])[H:31].[C:1]([C:2]([O:3][P:4](=[O:5])([O:6][C:7]([C:8]([H:39])([H:40])[H:41])([H:37])[H:38])[C:9]#[C:10][C:11]([F:12])([F:13])[C:14]([F:15])([F:16])[F:17])([H:35])[H:36])([H:32])([H:33])[H:34]>>[C:1]([C:2]([O:3][P:4](=[O:5])([O:6][C:7]([C:8]([H:39])([H:40])[H:41])([H:37])[H:38])[C:9]1=[C:10]([C:11]([F:12])([F:13])[C:14]([F:15])([F:16])[F:17])[C@@:18]2([H:24])[C:19]([H:25])=[C:20]([H:26])[C@:21]1([H:27])[C:22]([H:28])([H:29])[C:23]2([H:30])[H:31])([H:35])[H:36])([H:32])([H:33])[H:34],False
17,0,17,17,[C:1]([O:2][C:3](=[O:4])/[C:5](=[C:11](/[S:12](=[O:13])[C:14]1=[C:15]([H:31])[C:16]([H:32])=[C:17]([H:33])[C:18]([H:34])=[C:19]1[H:35])[H:30])[H:29])([H:26])([H:27])[H:28].[C:6]1([H:20])=[C:7]([H:21])[C:8]([H:22])=[C:9]([H:23])[C:10]1([H:24])[H:25]>>[C:1]([O:2][C:3](=[O:4])[C:5]1([H:29])[C:6]2([H:20])[C:7]([H:21])=[C:8]([H:22])[C:9]([H:23])([C:10]2([H:24])[H:25])[C:11]1([S:12](=[O:13])[C:14]1=[C:15]([H:31])[C:16]([H:32])=[C:17]([H:33])[C:18]([H:34])=[C:19]1[H:35])[H:30])([H:26])([H:27])[H:28],False
18,0,18,18,[C:10]1([H:23])=[C:11]([H:24])[C:12]([H:25])=[C:13]([H:26])[C:14]1([H:27])[H:28].[C:1]([C:2]([C:3]([H:33])([H:34])[H:35])([C:4]1([H:36])[O:5][C:6](=[O:7])[C:8](=[C:9]([H:37])[H:38])[N:15]=[C:16]1[C:17]1=[C:18]([H:39])[C:19]([H:40])=[C:20]([H:41])[C:21]([H:42])=[C:22]1[H:43])[H:32])([H:29])([H:30])[H:31]>>[C:1]([C:2]([C:3]([H:33])([H:34])[H:35])([C@@:4]1([H:36])[O:5][C:6](=[O:7])[C@@:8]2([C:9]([H:37])([H:38])[C@@:10]3([H:23])[C:11]([H:24])=[C:12]([H:25])[C@:13]2([H:26])[C:14]3([H:27])[H:28])[N:15]=[C:16]1[C:17]1=[C:18]([H:39])[C:19]([H:40])=[C:20]([H:41])[C:21]([H:42])=[C:22]1[H:43])[H:32])([H:29])([H:30])[H:31],False
19,0,19,19,[C:11]1([H:35])=[C:18]([H:36])[C:16](=[O:17])[C:15]([H:37])=[C:14]([H:38])[C:12]1=[O:13].[C:1]([C:2]([C:3]([H:23])([H:24])[H:25])([C:4]1=[C:5]([H:26])[C:6]([H:27])=[C:7]([C:8]([H:28])([H:29])[H:30])[C:9]([H:31])([H:32])[C:10]1([H:33])[H:34])[H:22])([H:19])([H:20])[H:21]>>[C:1]([C:2]([C:3]([H:23])([H:24])[H:25])([C@@:4]12[C:5]([H:26])=[C:6]([H:27])[C@@:7]([C:8]([H:28])([H:29])[H:30])([C:9]([H:31])([H:32])[C:10]1([H:33])[H:34])[C@@:11]1([H:35])[C:12](=[O:13])[C:14]([H:38])=[C:15]([H:37])[C:16](=[O:17])[C@@:18]21[H:36])[H:22])([H:19])([H:20])[H:21],False
