,idx,code,reaction
0,14,11,[C:1]([C:2]([C:3]([C:4]([H:32])([H:33])[H:34])=[O:5])([H:30])[H:31])([H:27])([H:28])[H:29].[C:6]([C:7]([C:8]([H:17])([H:18])[H:19])([N-:9][C:10]([C:11]([H:21])([H:22])[H:23])([C:12]([H:24])([H:25])[H:26])[H:20])[H:16])([H:13])([H:14])[H:15]>>[C:1](/[C:2](=[C:3](/[C:4]([H:32])([H:33])[H:34])[O-:5])[H:31])([H:27])([H:28])[H:29].[C:6]([C:7]([C:8]([H:17])([H:18])[H:19])([N:9]([C:10]([C:11]([H:21])([H:22])[H:23])([C:12]([H:24])([H:25])[H:26])[H:20])[H:30])[H:16])([H:13])([H:14])[H:15]
1,15,11,[C:1]([C:2]([C:3]([C:4]([H:32])([H:33])[H:34])=[O:5])([H:30])[H:31])([H:27])([H:28])[H:29].[C:6]([C:7]([C:8]([H:17])([H:18])[H:19])([N-:9][C:10]([C:11]([H:21])([H:22])[H:23])([C:12]([H:24])([H:25])[H:26])[H:20])[H:16])([H:13])([H:14])[H:15]>>[C:1]([C:2]([C:3](=[C:4]([H:33])[H:34])[O-:5])([H:30])[H:31])([H:27])([H:28])[H:29].[C:6]([C:7]([C:8]([H:17])([H:18])[H:19])([N:9]([C:10]([C:11]([H:21])([H:22])[H:23])([C:12]([H:24])([H:25])[H:26])[H:20])[H:32])[H:16])([H:13])([H:14])[H:15]
0,16,12,[C:1]([C:2]([C:3]([C:4]([N+:5](=[O:6])[O-:7])([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])([H:11])([H:12])[H:13].[C:8]([C:9]([O-:10])([H:23])[H:24])([H:20])([H:21])[H:22]>>[C:1]([C:2]([C:3]([C:4](=[N+:5]([O-:6])[O-:7])[H:18])([H:16])[H:17])([H:14])[H:15])([H:11])([H:12])[H:13].[C:8]([C:9]([O:10][H:19])([H:23])[H:24])([H:20])([H:21])[H:22]
0,17,13,[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O-:5])([H:14])([H:15])[H:16].[C:6]([C:7]([C:8](=[O:9])[C:10]([C:11]([C:12]([H:30])([H:31])[H:32])=[O:13])([H:28])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25]>>[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O:5][H:28])([H:14])([H:15])[H:16].[C:6]([C:7](/[C:8]([O-:9])=[C:10](/[C:11]([C:12]([H:30])([H:31])[H:32])=[O:13])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25]
1,18,13,[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O-:5])([H:14])([H:15])[H:16].[C:6]([C:7]([C:8](=[O:9])[C:10]([C:11]([C:12]([H:30])([H:31])[H:32])=[O:13])([H:28])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25]>>[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O:5][H:26])([H:14])([H:15])[H:16].[C:6](/[C:7](=[C:8](\[O-:9])[C:10]([C:11]([C:12]([H:30])([H:31])[H:32])=[O:13])([H:28])[H:29])[H:27])([H:23])([H:24])[H:25]
2,19,13,[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O-:5])([H:14])([H:15])[H:16].[C:6]([C:7]([C:8](=[O:9])[C:10]([C:11]([C:12]([H:30])([H:31])[H:32])=[O:13])([H:28])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25]>>[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O:5][H:30])([H:14])([H:15])[H:16].[C:6]([C:7]([C:8](=[O:9])[C:10]([C:11](=[C:12]([H:31])[H:32])[O-:13])([H:28])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25]
3,20,13,[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O-:5])([H:14])([H:15])[H:16].[C:6]([C:7]([C:8](=[O:9])[C:10]([C:11]([C:12]([H:30])([H:31])[H:32])=[O:13])([H:28])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25]>>[C:1]([C:2]([C:3]([H:17])([H:18])[H:19])([C:4]([H:20])([H:21])[H:22])[O:5][H:28])([H:14])([H:15])[H:16].[C:6]([C:7]([C:8](=[O:9])/[C:10](=[C:11](/[C:12]([H:30])([H:31])[H:32])[O-:13])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25]
0,21,14,[C:1]([O:2][C:4]([N:3]([H:15])[H:16])([O-:5])[c:6]1[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]([H:20])[c:11]1[H:21])([H:12])([H:13])[H:14]>>[C:1]([O-:2])([H:12])([H:13])[H:14].[N:3]([C:4](=[O:5])[c:6]1[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]([H:20])[c:11]1[H:21])([H:15])[H:16]
0,22,15,[Br-:4].[C:1]([C:2]([C:3]([O+:5]([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3]([Br:4])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8].[O:5]([H:13])[H:14]
1,23,15,[Br-:4].[C:1]([C:2]([C:3]([O+:5]([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[Br:4][H:13].[C:1]([C:2]([C:3]([O:5][H:14])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]
